timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;229.42;veh0;24913519#0_2;5.10;0.00;0.00;veh_passenger;1041.41;377.58
1.00;229.12;veh0;24913519#0_2;7.20;0.00;2.10;veh_passenger;1039.83;376.21
2.00;228.82;veh0;24913519#0_2;10.91;0.00;3.71;veh_passenger;1037.04;373.76
3.00;228.82;veh0;24913519#0_2;16.97;0.00;6.06;veh_passenger;1032.48;369.78
4.00;228.82;veh0;24913519#0_2;25.29;0.00;8.32;veh_passenger;1026.22;364.30
5.00;228.82;veh0;24913519#0_2;35.45;0.00;10.15;veh_passenger;1018.58;357.62
6.00;228.82;veh0;24913519#0_2;48.09;0.00;12.64;veh_passenger;1009.07;349.29
7.00;228.83;veh0;24913519#0_2;61.64;0.00;13.55;veh_passenger;998.88;340.38
8.00;228.80;veh0;24913519#0_1;75.95;0.00;14.31;veh_passenger;986.00;333.37
9.00;225.99;veh0;1144362247_0;4.77;0.00;13.79;veh_passenger;974.97;325.21
10.00;225.72;veh0;1144362247_0;19.49;0.00;14.72;veh_passenger;964.47;314.96
11.00;224.43;veh0;1144362247_0;33.81;0.00;14.32;veh_passenger;954.33;304.92
12.00;223.72;veh0;1144362247_0;47.62;0.00;13.81;veh_passenger;944.81;294.97
13.00;232.35;veh0;1144362247_0;61.48;0.00;13.87;veh_passenger;934.77;285.55
14.00;235.94;veh0;1144362247_0;75.32;0.00;13.84;veh_passenger;923.33;277.84
15.00;235.67;veh0;1144362247_0;88.81;0.00;13.49;veh_passenger;912.22;270.25
16.00;238.72;veh0;4067932_0;11.28;0.00;14.33;veh_passenger;900.22;262.79
17.00;238.72;veh0;4067932_0;25.92;0.00;14.65;veh_passenger;887.71;255.18
18.00;238.72;veh0;4067932_0;39.67;0.00;13.75;veh_passenger;875.96;248.04
19.00;238.72;veh0;4067932_0;53.35;0.00;13.67;veh_passenger;864.27;240.95
20.00;240.54;veh0;339201219_0;13.91;0.00;14.65;veh_passenger;851.56;233.75
21.00;240.54;veh0;339201219_0;27.37;0.00;13.46;veh_passenger;839.83;227.12
22.00;240.54;veh0;339201219_0;41.56;0.00;14.18;veh_passenger;827.48;220.14
23.00;240.54;veh0;339201219_0;55.27;0.00;13.72;veh_passenger;815.52;213.39
