feature_1,feature_2,feature_1_score,feature_2_score,feature_1_rank,feature_2_rank,correlation,keep,keep_index
hour_bin,time_start,0.128066429422557,0.427529281882047,45,7,0.9955120141756035,time_start,7
source_x_cos_0,source_x,0.2329203459346575,0.2586701197533217,29,24,0.9898693344086377,source_x,24
source_x_cos_1,source_x_sin_0,0.138825098738546,0.1518525734639671,43,40,0.9765106655831954,source_x_sin_0,40
source_y_sin_0,source_y,0.1228083939736832,0.2268793812096463,46,30,0.9828036643634549,source_y,30
source_y_cos_0,source_y,0.1690506044246096,0.2268793812096463,36,30,0.9846468160169187,source_y,30
source_y_cos_1,source_y,0.1372043078479183,0.2268793812096463,44,30,0.9948832972950319,source_y,30
source_y_cos_1,source_y_sin_0,0.1372043078479183,0.1228083939736832,44,46,0.9805820835315189,source_y_cos_1,44
source_y_cos_1,source_y_cos_0,0.1372043078479183,0.1690506044246096,44,36,0.9815074370947727,source_y_cos_0,36
destination_x_cos_0,destination_x,0.2201755654785421,0.2556987244556755,32,25,0.9894673828913068,destination_x,25
destination_x_cos_1,destination_x_sin_0,0.145200660148388,0.1486907986415668,42,41,0.9762712431446056,destination_x_sin_0,41
destination_y_sin_0,destination_y,0.0958224287356256,0.2889536395110506,50,20,0.9827293090829007,destination_y,20
destination_y_cos_0,destination_y,0.1578941040329783,0.2889536395110506,39,20,0.9845084290914109,destination_y,20
destination_y_cos_1,destination_y,0.111664223205076,0.2889536395110506,48,20,0.9947523083117201,destination_y,20
destination_y_cos_1,destination_y_sin_0,0.111664223205076,0.0958224287356256,48,50,0.9805008589819173,destination_y_cos_1,48
destination_y_cos_1,destination_y_cos_0,0.111664223205076,0.1578941040329783,48,39,0.9812391342374505,destination_y_cos_0,39
source_cell_x,source_x,0.1133505023429194,0.2586701197533217,47,24,0.9991324600494409,source_x,24
source_cell_x,source_x_cos_0,0.1133505023429194,0.2329203459346575,47,29,0.9888681674382921,source_x_cos_0,29
source_cell_y,source_y,0.028818244136209,0.2268793812096463,53,30,0.9978533531482502,source_y,30
source_cell_y,source_y_sin_0,0.028818244136209,0.1228083939736832,53,46,0.9809417014456018,source_y_sin_0,46
source_cell_y,source_y_cos_0,0.028818244136209,0.1690506044246096,53,36,0.9823330409435519,source_y_cos_0,36
source_cell_y,source_y_cos_1,0.028818244136209,0.1372043078479183,53,44,0.9928257058663569,source_y_cos_1,44
destination_cell_x,destination_x,0.1116471765922448,0.2556987244556755,49,25,0.9991358162325978,destination_x,25
destination_cell_x,destination_x_cos_0,0.1116471765922448,0.2201755654785421,49,32,0.9884139428772273,destination_x_cos_0,32
destination_cell_y,destination_y,0.0590272415144221,0.2889536395110506,51,20,0.9978361268582789,destination_y,20
destination_cell_y,destination_y_sin_0,0.0590272415144221,0.0958224287356256,51,50,0.9807296551674357,destination_y_sin_0,50
destination_cell_y,destination_y_cos_0,0.0590272415144221,0.1578941040329783,51,39,0.9823510062750981,destination_y_cos_0,39
destination_cell_y,destination_y_cos_1,0.0590272415144221,0.111664223205076,51,48,0.9928060078697918,destination_y_cos_1,48
source_pca_1,source_x,0.3352546107176204,0.2586701197533217,18,24,0.9999164618884133,source_pca_1,18
source_pca_1,source_x_cos_0,0.3352546107176204,0.2329203459346575,18,29,0.9898143817382288,source_pca_1,18
source_pca_1,source_cell_x,0.3352546107176204,0.1133505023429194,18,47,0.999059198581481,source_pca_1,18
source_pca_2,source_y,0.3592058083589923,0.2268793812096463,16,30,0.9995115646040659,source_pca_2,16
source_pca_2,source_y_sin_0,0.3592058083589923,0.1228083939736832,16,46,0.9817415615435954,source_pca_2,16
source_pca_2,source_y_cos_0,0.3592058083589923,0.1690506044246096,16,36,0.984559415684176,source_pca_2,16
source_pca_2,source_y_cos_1,0.3592058083589923,0.1372043078479183,16,44,0.9940429435952728,source_pca_2,16
source_pca_2,source_cell_y,0.3592058083589923,0.028818244136209,16,53,0.9974016937484792,source_pca_2,16
dest_pca_1,destination_x,0.3673303300843537,0.2556987244556755,15,25,0.9999166221554885,dest_pca_1,15
dest_pca_1,destination_x_cos_0,0.3673303300843537,0.2201755654785421,15,32,0.9894565550561373,dest_pca_1,15
dest_pca_1,destination_cell_x,0.3673303300843537,0.1116471765922448,15,49,0.999052585334313,dest_pca_1,15
dest_pca_2,destination_y,0.308076707494942,0.2889536395110506,19,20,0.9995104969508581,dest_pca_2,19
dest_pca_2,destination_y_sin_0,0.308076707494942,0.0958224287356256,19,50,0.9817891840127514,dest_pca_2,19
dest_pca_2,destination_y_cos_0,0.308076707494942,0.1578941040329783,19,39,0.9842347528685792,dest_pca_2,19
dest_pca_2,destination_y_cos_1,0.308076707494942,0.111664223205076,19,48,0.9937590511535521,dest_pca_2,19
dest_pca_2,destination_cell_y,0.308076707494942,0.0590272415144221,19,51,0.9973157106107687,dest_pca_2,19
