model,feature,importance_mean,percentage_mean
LGBMRegressor,distance,64.59817810700108,88.99142837828039
LGBMRegressor,x_center,1.3420029132453537,1.8487635354002996
LGBMRegressor,time_start,0.8033462898326713,1.10670201404416
LGBMRegressor,is_short_distance,0.7010632790142732,0.9657953894566494
LGBMRegressor,euclidean_distance,0.6659647423202657,0.9174431138055703
LGBMRegressor,y_center,0.380024822982912,0.523527950903421
LGBMRegressor,destination_distance_from_city_center,0.37267629233379357,0.513404503801501
LGBMRegressor,source_distance_from_city_center,0.29871254145823434,0.4115109205532463
LGBMRegressor,detour_length,0.28730762136314525,0.395799329924158
LGBMRegressor,source_cluster,0.21474537691788367,0.29583648315746386
LGBMRegressor,destination_y_sin_1,0.17495173154982746,0.24101615469841303
LGBMRegressor,trip_centrality,0.14745192840711818,0.20313200945614973
LGBMRegressor,destination_pca_1,0.14172945919890848,0.1952486492188721
LGBMRegressor,is_noon,0.14154695088190428,0.19499722299762146
LGBMRegressor,source_pca_2,0.14035436068993176,0.19335429268962165
LGBMRegressor,destination_y,0.12515248301248721,0.1724119557972896
LGBMRegressor,source_pca_1,0.12182587881300082,0.16782917547690474
LGBMRegressor,destination_pca_2,0.12060152301979583,0.1661424843956167
LGBMRegressor,destination_x_sin_1,0.1149862752254387,0.15840683400172934
LGBMRegressor,source_y_sin_1,0.10582824761392853,0.14579059648298584
LGBMRegressor,is_long_distance,0.10412865224889992,0.1434492081709429
LGBMRegressor,route_efficiency,0.1035481205551505,0.1426494589185716
LGBMRegressor,source_x,0.09567002431455447,0.13179647423855598
LGBMRegressor,is_medium_distance,0.095250984393706,0.13121919849802258
LGBMRegressor,destination_cluster,0.09427048322867244,0.12986844524522384
LGBMRegressor,source_y,0.09393692591606073,0.12940893164027095
LGBMRegressor,trip_bearing_sin,0.08684608830658802,0.11964048637204414
LGBMRegressor,source_x_sin_1,0.08265557220521078,0.11386756793329135
LGBMRegressor,destination_x,0.07752174107681022,0.10679512442857693
LGBMRegressor,source_x_cos_0,0.07712625170363599,0.10625029227914837
LGBMRegressor,trip_bearing,0.07538188260138487,0.10384722298869356
LGBMRegressor,destination_x_cos_0,0.061741314859908504,0.0850557703072577
LGBMRegressor,destination_x_cos_1,0.052609144398429106,0.07247515398995456
LGBMRegressor,source_y_cos_0,0.045736971538766547,0.06300794459233315
LGBMRegressor,trip_bearing_cos,0.041031949825090196,0.05652623543085598
LGBMRegressor,destination_y_cos_0,0.03968777910744912,0.05467448549529281
LGBMRegressor,source_x_cos_1,0.039231423761841695,0.05404580346053946
LGBMRegressor,source_x_sin_0,0.03894851265812518,0.05365606083990229
LGBMRegressor,trip_centrality_change,0.03878801652630585,0.05343495893829552
LGBMRegressor,y_difference,0.036296409572111374,0.05000248346748976
LGBMRegressor,source_y_cos_1,0.033367824233135675,0.045968019956592505
LGBMRegressor,x_difference,0.032583983055614676,0.04488818848063719
LGBMRegressor,destination_x_sin_0,0.031657855980527845,0.043612341797542524
LGBMRegressor,destination_y_cos_1,0.0312582283742866,0.04306180875557509
LGBMRegressor,source_y_sin_0,0.026833248873494177,0.03696588998728014
LGBMRegressor,destination_y_sin_0,0.017730116862742618,0.02442527747943247
LGBMRegressor,hour_bin,0.013179380902609667,0.018156114708404638
LGBMRegressor,is_rush_hour,0.012640912883443106,0.01741431301111401
LGBMRegressor,destination_cell_x,0.007473064831522181,0.010295007277435524
LGBMRegressor,source_cell_x,0.0023633362988637356,0.0032557678736039853
LGBMRegressor,source_cell_y,0.001090263659565622,0.001501963727412934
LGBMRegressor,is_afternoon,0.000371368157564298,0.0005116023975337999
LGBMRegressor,destination_cell_y,0.0002052973312782882,0.00028282071241145175
LGBMRegressor,is_morning,-0.0004002699484541807,-0.0005514179423270405
XGBRegressor,distance,51.97163531494141,78.69737502037505
XGBRegressor,euclidean_distance,3.98104203414917,6.0282412903648535
XGBRegressor,detour_length,1.7977465248107911,2.7222143693819287
XGBRegressor,x_center,1.3735950927734375,2.079948562077682
XGBRegressor,time_start,0.80320703125,1.2162458343717142
XGBRegressor,is_short_distance,0.6578790512084961,0.996184824611804
XGBRegressor,y_center,0.443295051574707,0.671253785012644
XGBRegressor,destination_distance_from_city_center,0.36273760986328124,0.5492707232400337
XGBRegressor,source_distance_from_city_center,0.3422766075134277,0.5182879156862318
XGBRegressor,is_medium_distance,0.23884268951416016,0.36166444626319244
XGBRegressor,x_difference,0.22799428939819336,0.34523739702520406
XGBRegressor,is_long_distance,0.2149591941833496,0.3254991730818459
XGBRegressor,destination_y,0.214726318359375,0.32514654388437214
XGBRegressor,trip_centrality,0.1940666618347168,0.2938629268217059
XGBRegressor,source_cluster,0.1836334800720215,0.27806461659230813
XGBRegressor,destination_y_sin_1,0.177102294921875,0.26817485414835407
XGBRegressor,source_x,0.17530418014526367,0.26545208215845717
XGBRegressor,source_pca_2,0.1732243766784668,0.2623027667212318
XGBRegressor,destination_x,0.17142130661010743,0.2595724912450454
XGBRegressor,destination_pca_1,0.16537071228027345,0.2504104572204165
XGBRegressor,source_y,0.16149019622802735,0.2445344360949392
XGBRegressor,source_pca_1,0.16046324157714845,0.24297938332818703
XGBRegressor,destination_x_sin_1,0.15477417755126952,0.23436479187947798
XGBRegressor,source_y_sin_1,0.15208633422851564,0.2302947599729399
XGBRegressor,destination_pca_2,0.14884557723999023,0.2253874857159268
XGBRegressor,is_noon,0.13709653854370116,0.20759665618347722
XGBRegressor,source_x_sin_1,0.11822615814208985,0.17902242729413145
XGBRegressor,y_difference,0.11756113052368164,0.1780154178443108
XGBRegressor,trip_bearing,0.11208333587646484,0.16972073831336504
XGBRegressor,trip_centrality_change,0.10771298217773437,0.16310298688190686
XGBRegressor,trip_bearing_sin,0.10383372879028321,0.15722887773022629
XGBRegressor,destination_cluster,0.10059709167480468,0.15232784193756477
XGBRegressor,destination_x_sin_0,0.08998302459716798,0.13625562846499675
XGBRegressor,route_efficiency,0.08544052886962891,0.12937721319804785
XGBRegressor,source_x_sin_0,0.0672726173400879,0.10186668869149573
XGBRegressor,trip_bearing_cos,0.04850373077392578,0.07344614552672261
XGBRegressor,destination_x_cos_0,0.04285740280151367,0.06489626659294963
XGBRegressor,source_x_cos_0,0.03246237182617188,0.049155725698718775
XGBRegressor,source_x_cos_1,0.0296921501159668,0.04496095338692819
