feature,final_score,final_rank,final_scaled,normalized_rank,category
distance,0.9384468157751166,1.3333333333333335,0.8768936315502331,0.0,original
is_short_distance,0.5670541919265251,4.333333333333333,0.19107040916950574,0.05696202531645569,spatial
euclidean_distance,0.5197474920942314,3.166666666666667,0.07430511077074131,0.034810126582278486,spatial
x_center,0.49716573588726093,3.666666666666667,0.038635269242876344,0.04430379746835444,spatial
is_long_distance,0.4764575514980718,9.833333333333332,0.11430750805943465,0.1613924050632911,spatial
detour_length,0.47292231719674255,5.833333333333334,0.03128767236816868,0.08544303797468354,spatial
time_start,0.427529281882047,10.5,0.029109196675486407,0.1740506329113924,original
y_center,0.423582719971773,10.0,0.011722401968862404,0.16455696202531644,spatial
destination_distance_from_city_center,0.4115367739527314,11.333333333333332,0.012946965626981818,0.18987341772151897,spatial
source_distance_from_city_center,0.3959981594429722,12.833333333333332,0.0103507492656911,0.2183544303797468,spatial
is_medium_distance,0.3947376211284947,15.166666666666668,0.05213347010509076,0.2626582278481013,spatial
source_cluster,0.3840242158546894,14.0,0.008554760823302764,0.24050632911392406,cluster
is_noon,0.37800171643897945,14.833333333333332,0.012332546802009563,0.2563291139240506,temporal
trip_centrality,0.3683384489490508,15.666666666666668,0.008828796632278826,0.2721518987341772,spatial
dest_pca_1,0.36733033008435373,15.666666666666668,0.006812558902884633,0.2721518987341772,none
source_pca_2,0.35920580835899235,16.5,0.006386300262288469,0.2879746835443038,pca
destination_y_sin_1,0.35762847181183244,16.666666666666668,0.006396184129994015,0.2911392405063291,fourier
source_pca_1,0.33525461071762047,19.0,0.0059522594099245,0.33544303797468356,pca
dest_pca_2,0.30807670749494204,21.833333333333336,0.005393921318998122,0.389240506329114,none
destination_y,0.28895363951105063,23.833333333333332,0.0051224688955190225,0.4272151898734177,original
destination_x_sin_1,0.2809950367645999,24.666666666666664,0.005028048212744036,0.4430379746835443,fourier
source_y_sin_1,0.27616026429699436,25.166666666666664,0.004852174163608909,0.4525316455696203,fourier
route_efficiency,0.2672399293074685,26.166666666666664,0.005998845956709168,0.47151898734177217,spatial
source_x,0.2586701197533217,27.0,0.0046820116585422145,0.4873417721518988,original
destination_x,0.25569872445567554,27.333333333333336,0.005068334987300536,0.49367088607594944,original
destination_cluster,0.25067350813889927,27.833333333333332,0.004511573239823837,0.5031645569620253,cluster
trip_bearing_sin,0.2411812956475358,28.833333333333336,0.004514490029248919,0.5221518987341773,spatial
trip_bearing,0.23317506978039568,29.666666666666664,0.0043248231050951325,0.5379746835443038,spatial
source_x_cos_0,0.23292034593465752,29.666666666666668,0.003815375413618948,0.5379746835443039,fourier
source_y,0.2268793812096463,30.333333333333332,0.004391673811697683,0.5506329113924051,original
source_x_sin_1,0.22509488413259107,30.5,0.003987236619612615,0.5537974683544304,fourier
destination_x_cos_0,0.22017556547854217,31.0,0.0036422701975906803,0.5632911392405063,fourier
is_rush_hour,0.20631449155590856,32.5,0.004401135010551329,0.5917721518987342,temporal
trip_centrality_change,0.19825512478463955,33.33333333333333,0.004105186278139752,0.6075949367088607,spatial
x_difference,0.1727166515704959,36.0,0.0036611512422575687,0.6582278481012658,spatial
source_y_cos_0,0.16905060442460967,36.33333333333333,0.0026581708745356987,0.6645569620253163,fourier
y_difference,0.16622944290649955,36.666666666666664,0.0033449617623661177,0.670886075949367,spatial
trip_bearing_cos,0.15968975992787238,37.33333333333333,0.002923823653212949,0.6835443037974682,spatial
destination_y_cos_0,0.15789410403297832,37.5,0.0024970688254503277,0.6867088607594937,fourier
source_x_sin_0,0.1518525734639671,38.166666666666664,0.003072235535529084,0.6993670886075949,fourier
destination_x_sin_0,0.1486907986415668,38.5,0.0030777998147792033,0.7056962025316456,fourier
destination_x_cos_1,0.14520066014838803,38.833333333333336,0.0024266367524722905,0.7120253164556962,fourier
source_x_cos_1,0.13882509873854607,39.5,0.002333741780889584,0.7246835443037974,fourier
source_y_cos_1,0.13720430784791834,39.666666666666664,0.0022567169616594784,0.7278481012658228,fourier
hour_bin,0.12806642942255705,40.666666666666664,0.0029683018830887965,0.7468354430379747,temporal
source_y_sin_0,0.12280839397368322,41.16666666666667,0.0019459018714170916,0.7563291139240507,fourier
source_cell_x,0.1133505023429194,42.16666666666667,0.002017460382041451,0.7753164556962027,cell
destination_y_cos_1,0.11166422320507607,42.33333333333333,0.0018094590683799278,0.7784810126582278,fourier
destination_cell_x,0.11164717659224482,42.33333333333333,0.0017753658427174116,0.7784810126582278,cell
destination_y_sin_0,0.09582242873562569,44.0,0.0017714397497323722,0.810126582278481,fourier
destination_cell_y,0.059027241514422187,47.83333333333333,0.0009658754339075931,0.8829113924050632,cell
is_afternoon,0.028828470156238708,51.0,0.0006949149960217473,0.9430379746835443,temporal
source_cell_y,0.028818244136209,51.0,0.0006744629559623274,0.9430379746835443,cell
is_morning,0.0,54.0,0.0,1.0,temporal
