model,feature,importance_mean,percentage_mean
LGBMRegressor,distance,62.20805325892015,62.60850606073977
LGBMRegressor,x_center,4.147750812663281,4.1746948924081195
LGBMRegressor,euclidean_distance,3.8280214807243844,3.851691198233347
LGBMRegressor,time_start,3.670298432247768,3.693281713307306
LGBMRegressor,is_short_distance,2.6288791152018205,2.6463769945286537
LGBMRegressor,is_noon,1.6806378443464542,1.690904883380363
LGBMRegressor,detour_length,1.6005191045043865,1.6100382954857004
LGBMRegressor,is_long_distance,1.5925892982611185,1.6029297969928114
LGBMRegressor,destination_distance_from_city_center,1.5112154782527571,1.5210846199285437
LGBMRegressor,source_distance_from_city_center,1.0726233057313823,1.0797761095995988
LGBMRegressor,is_medium_distance,1.0450762162412208,1.0507610404306145
LGBMRegressor,source_cluster,0.9806881365915114,0.986270200446023
LGBMRegressor,trip_centrality,0.9705346572515328,0.9764042432407342
LGBMRegressor,y_center,0.9186622744277175,0.92489625246
LGBMRegressor,route_efficiency,0.8199354550933577,0.8253425821761535
LGBMRegressor,dest_pca_1,0.6243780928153189,0.6281180301135268
LGBMRegressor,source_pca_1,0.5191178688814848,0.52286619478122
LGBMRegressor,destination_y_sin_1,0.5177023986350799,0.5208425702063028
LGBMRegressor,source_pca_2,0.4913966333932785,0.49443274460489633
LGBMRegressor,dest_pca_2,0.4814302432240577,0.48470283724446644
LGBMRegressor,destination_x_sin_1,0.44503713282206336,0.4481190388607762
LGBMRegressor,destination_cluster,0.42547653341912567,0.4280084787038671
LGBMRegressor,trip_bearing_sin,0.42537775503872177,0.42806968916716504
LGBMRegressor,is_rush_hour,0.41894461992750304,0.4221087549215311
LGBMRegressor,destination_y,0.4003120697183862,0.402896672999586
LGBMRegressor,destination_x_cos_0,0.37835999692357275,0.3810472422663175
LGBMRegressor,trip_bearing,0.36770926246422153,0.3698952622959245
LGBMRegressor,source_x,0.35812613708606283,0.360351823217014
LGBMRegressor,source_x_cos_0,0.3484911520677627,0.3506197379254992
LGBMRegressor,destination_x,0.34773884997933563,0.34985675012966044
LGBMRegressor,source_y_sin_1,0.3305791935093471,0.33278831879546816
LGBMRegressor,source_y,0.32788087546018196,0.3301349106981914
LGBMRegressor,trip_centrality_change,0.3205143984971445,0.32259574439438543
LGBMRegressor,source_x_sin_1,0.27764817041110507,0.2790955917249006
LGBMRegressor,destination_x_cos_1,0.2710995456825521,0.2730407283827706
LGBMRegressor,y_difference,0.24512887531291572,0.24641177162359712
LGBMRegressor,trip_bearing_cos,0.24464214934882236,0.24617276186157405
LGBMRegressor,source_x_cos_1,0.24332861702988282,0.24515088744728564
LGBMRegressor,hour_bin,0.23644757817400364,0.23846400506002013
